name,city,iata,latitude,longitude
Tallinn,Tallinn-ulemiste International,TLL,59.413317,24.832844
Tartu,Tartu,TAY,58.307461,26.690428
Enontekio,Enontekio,ENF,68.362586,23.424322
Eura,Eura,,61.116112,22.201389
Halli,Halli,KEV,61.85605,24.7866
Helsinki Malmi,Helsinki,HEM,60.254558,25.042828
Helsinki Vantaa,Helsinki,HEL,60.317222,24.963333
Hameenkyro,Hameenkyro,,61.689656,23.073744
Hanko,Hanko,,59.848864,23.083583
Hyvinkaa,Hyvinkaa,HYV,60.654444,24.881111
Kiikala,Kikala,,60.462502,23.6525
Immola,Immola,,61.249172,28.903711
Kitee,Kitee,,62.166111,30.073611
Ivalo,Ivalo,IVL,68.607269,27.405328
Joensuu,Joensuu,JOE,62.662906,29.60755
Jyvaskyla,Jyvaskyla,JYV,62.399453,25.678253
Kauhava,Kauhava,KAU,63.127078,23.051442
Kemi Tornio,Kemi,KEM,65.781889,24.5991
Kajaani,Kajaani,KAJ,64.285472,27.692414
Kauhajoki,Kauhajoki,,62.462502,22.393055
Kruunupyy,Kruunupyy,KOK,63.721172,23.143131
Kemijarvi,Kemijarvi,,66.712883,27.156786
Kuusamo,Kuusamo,KAO,65.987575,29.239381
Kittila,Kittila,KTT,67.701022,24.84685
Kuopio,Kuopio,KUO,63.00715,27.797756
Lahti Vesivehmaa,Vesivehmaa,,61.144158,25.693508
Lappeenranta,Lappeenranta,LPP,61.044553,28.144397
Mariehamn,Mariehamn,MHQ,60.122203,19.898156
Menkijarvi,Menkijarvi,,62.946667,23.518889
Mikkeli,Mikkeli,MIK,61.6866,27.201794
Nummela,Nummela,,60.333889,24.296389
Oulu,Oulu,OUL,64.930061,25.354564
Piikajarvi,Piikajarvi,,61.245558,22.193356
Pori,Pori,POR,61.461686,21.799983
Pudasjarvi,Pudasjarvi,,65.402222,26.946944
Pyhasalmi,Pyhasalmi,,63.731917,25.926306
Raahe Pattijoki,Pattijoki,,64.688056,24.695833
Rantasalmi,Rantasalmi,,62.065481,28.356494
Rovaniemi,Rovaniemi,RVN,66.564822,25.830411
Rayskala,Rayskala,,60.744722,24.107778
Savonlinna,Savonlinna,SVL,61.943064,28.945136
Selanpaa,Selanpaa,,61.062389,26.798861
Sodankyla,Sodankyla,SOT,67.395033,26.619133
Tampere Pirkkala,Tampere,TMP,61.414147,23.604392
Teisko,Teisko,,61.77335,24.027006
Turku,Turku,TKU,60.514142,22.262808
Utti,Utti,QVY,60.896394,26.938353
Vaasa,Vaasa,VAA,63.05065,21.762175
Varkaus,Varkaus,VRK,62.171111,27.868611
Ylivieska,Ylivieska-raudaskyla,,64.060547,24.715953
Belfast Intl,Belfast,BFS,54.6575,-6.215833
St Angelo,Enniskillen,ENK,54.398889,-7.651667
Belfast City,Belfast,BHD,54.618056,-5.8725
City of Derry,Londonderry,LDY,55.042778,-7.161111
Birmingham,Birmingham,BHX,52.453856,-1.748028
Coventry,Coventry,CVT,52.369722,-1.479722
Leicester,Leicester,,52.607778,-1.031944
Gloucestershire,Golouchestershire,GLO,51.894167,-2.167222
Wolverhampton,Halfpenny Green,,52.5175,-2.259444
Kemble,Pailton,,51.668056,-2.056944
Turweston,Turweston,,52.040833,-1.095556
Wellesbourne Mountford,Wellesbourne,,52.192222,-1.614444
Manchester,Manchester,MAN,53.353744,-2.27495
Manchester Woodford,Woodfort,,53.338056,-2.148889
Chivenor,Chivenor,,51.087167,-4.150339
St Mawgan,Newquai,NQY,50.440558,-4.995408
Lyneham,Lyneham,LYE,51.505144,-1.993428
Boscombe Down,Boscombe Down,,51.152189,-1.747414
Culdrose,Culdrose,,50.086092,-5.255711
St Athan,St. Athan,,51.404811,-3.43575
Yeovilton,Yeovilton,YEO,51.009358,-2.638819
Haverfordwest,Haverfordwest,,51.833056,-4.961111
Cardiff,Cardiff,CWL,51.396667,-3.343333
Swansea,Swansea,SWS,51.605333,-4.067833
Bristol,Bristol,BRS,51.382669,-2.719089
